#Layer Chip Chan I J K
6 164 24 13 14 6
6 164 25 14 14 6
6 164 26 15 14 6
6 164 27 16 14 6
6 164 28 17 14 6
6 164 29 18 14 6
6 164 30 13 13 6
6 164 31 14 13 6
6 164 32 15 13 6
6 164 33 16 13 6
6 164 34 17 13 6
6 164 35 18 13 6
7 157 0 12 12 7
7 157 1 11 12 7
7 157 2 10 12 7
7 157 3 9 12 7
7 157 4 8 12 7
7 157 5 7 12 7
7 157 6 12 11 7
7 157 7 11 11 7
7 157 8 10 11 7
7 157 9 9 11 7
7 157 10 8 11 7
7 157 11 7 11 7
7 157 12 12 10 7
7 157 13 11 10 7
7 157 14 10 10 7
7 157 15 9 10 7
7 157 16 8 10 7
7 157 17 7 10 7
7 157 18 12 9 7
7 157 19 11 9 7
7 157 20 10 9 7
7 157 21 9 9 7
7 157 22 8 9 7
7 157 23 7 9 7
7 157 24 12 8 7
7 157 25 11 8 7
7 157 26 10 8 7
7 157 27 9 8 7
7 157 28 8 8 7
7 157 29 7 8 7
7 157 30 12 7 7
7 157 31 11 7 7
7 157 32 10 7 7
7 157 33 9 7 7
7 157 34 8 7 7
7 157 35 7 7 7
7 158 0 18 12 7
7 158 1 17 12 7
7 158 2 16 12 7
7 158 3 15 12 7
7 158 4 14 12 7
7 158 5 13 12 7
7 158 6 18 11 7
7 158 7 17 11 7
7 158 8 16 11 7
7 158 9 15 11 7
7 158 10 14 11 7
7 158 11 13 11 7
7 158 12 18 10 7
7 158 13 17 10 7
7 158 14 16 10 7
7 158 15 15 10 7
7 158 16 14 10 7
7 158 17 13 10 7
7 158 18 18 9 7
7 158 19 17 9 7
7 158 20 16 9 7
7 158 21 15 9 7
7 158 22 14 9 7
7 158 23 13 9 7
7 158 24 18 8 7
7 158 25 17 8 7
7 158 26 16 8 7
7 158 27 15 8 7
7 158 28 14 8 7
7 158 29 13 8 7
7 158 30 18 7 7
7 158 31 17 7 7
7 158 32 16 7 7
7 158 33 15 7 7
7 158 34 14 7 7
7 158 35 13 7 7
7 159 0 7 18 7
7 159 1 8 18 7
7 159 2 9 18 7
7 159 3 10 18 7
7 159 4 11 18 7
7 159 5 12 18 7
7 159 6 7 17 7
7 159 7 8 17 7
7 159 8 9 17 7
7 159 9 10 17 7
7 159 10 11 17 7
7 159 11 12 17 7
7 159 12 7 16 7
7 159 13 8 16 7
7 159 14 9 16 7
7 159 15 10 16 7
7 159 16 11 16 7
7 159 17 12 16 7
7 159 18 7 15 7
7 159 19 8 15 7
7 159 20 9 15 7
7 159 21 10 15 7
7 159 22 11 15 7
7 159 23 12 15 7
7 159 24 7 14 7
7 159 25 8 14 7
7 159 26 9 14 7
7 159 27 10 14 7
7 159 28 11 14 7
7 159 29 12 14 7
7 159 30 7 13 7
7 159 31 8 13 7
7 159 32 9 13 7
7 159 33 10 13 7
7 159 34 11 13 7
7 159 35 12 13 7
7 160 0 13 18 7
7 160 1 14 18 7
7 160 2 15 18 7
7 160 3 16 18 7
7 160 4 17 18 7
7 160 5 18 18 7
7 160 6 13 17 7
7 160 7 14 17 7
7 160 8 15 17 7
7 160 9 16 17 7
7 160 10 17 17 7
7 160 11 18 17 7
7 160 12 13 16 7
7 160 13 14 16 7
7 160 14 15 16 7
7 160 15 16 16 7
7 160 16 17 16 7
7 160 17 18 16 7
7 160 18 13 15 7
7 160 19 14 15 7
7 160 20 15 15 7
7 160 21 16 15 7
7 160 22 17 15 7
7 160 23 18 15 7
7 160 24 13 14 7
7 160 25 14 14 7
7 160 26 15 14 7
7 160 27 16 14 7
7 160 28 17 14 7
7 160 29 18 14 7
7 160 30 13 13 7
7 160 31 14 13 7
7 160 32 15 13 7
7 160 33 16 13 7
7 160 34 17 13 7
7 160 35 18 13 7
8 153 0 12 12 8
8 153 1 11 12 8
8 153 2 10 12 8
8 153 3 9 12 8
8 153 4 8 12 8
8 153 5 7 12 8
8 153 6 12 11 8
8 153 7 11 11 8
8 153 8 10 11 8
8 153 9 9 11 8
8 153 10 8 11 8
8 153 11 7 11 8
8 153 12 12 10 8
8 153 13 11 10 8
8 153 14 10 10 8
8 153 15 9 10 8
8 153 16 8 10 8
8 153 17 7 10 8
8 153 18 12 9 8
8 153 19 11 9 8
8 153 20 10 9 8
8 153 21 9 9 8
8 153 22 8 9 8
8 153 23 7 9 8
8 153 24 12 8 8
8 153 25 11 8 8
8 153 26 10 8 8
8 153 27 9 8 8
8 153 28 8 8 8
8 153 29 7 8 8
8 153 30 12 7 8
8 153 31 11 7 8
8 153 32 10 7 8
8 153 33 9 7 8
8 153 34 8 7 8
8 153 35 7 7 8
8 154 0 18 12 8
8 154 1 17 12 8
8 154 2 16 12 8
8 154 3 15 12 8
8 154 4 14 12 8
8 154 5 13 12 8
8 154 6 18 11 8
8 154 7 17 11 8
8 154 8 16 11 8
8 154 9 15 11 8
8 154 10 14 11 8
8 154 11 13 11 8
8 154 12 18 10 8
8 154 13 17 10 8
8 154 14 16 10 8
8 154 15 15 10 8
8 154 16 14 10 8
8 154 17 13 10 8
8 154 18 18 9 8
8 154 19 17 9 8
8 154 20 16 9 8
8 154 21 15 9 8
8 154 22 14 9 8
8 154 23 13 9 8
8 154 24 18 8 8
8 154 25 17 8 8
8 154 26 16 8 8
8 154 27 15 8 8
8 154 28 14 8 8
8 154 29 13 8 8
8 154 30 18 7 8
8 154 31 17 7 8
8 154 32 16 7 8
8 154 33 15 7 8
8 154 34 14 7 8
8 154 35 13 7 8
8 155 0 7 18 8
8 155 1 8 18 8
8 155 2 9 18 8
8 155 3 10 18 8
8 155 4 11 18 8
8 155 5 12 18 8
8 155 6 7 17 8
8 155 7 8 17 8
8 155 8 9 17 8
8 155 9 10 17 8
8 155 10 11 17 8
8 155 11 12 17 8
8 155 12 7 16 8
8 155 13 8 16 8
8 155 14 9 16 8
8 155 15 10 16 8
8 155 16 11 16 8
8 155 17 12 16 8
8 155 18 7 15 8
8 155 19 8 15 8
8 155 20 9 15 8
8 155 21 10 15 8
8 155 22 11 15 8
8 155 23 12 15 8
8 155 24 7 14 8
8 155 25 8 14 8
8 155 26 9 14 8
8 155 27 10 14 8
8 155 28 11 14 8
8 155 29 12 14 8
8 155 30 7 13 8
8 155 31 8 13 8
8 155 32 9 13 8
8 155 33 10 13 8
8 155 34 11 13 8
8 155 35 12 13 8
8 156 0 13 18 8
8 156 1 14 18 8
8 156 2 15 18 8
8 156 3 16 18 8
8 156 4 17 18 8
8 156 5 18 18 8
8 156 6 13 17 8
8 156 7 14 17 8
8 156 8 15 17 8
8 156 9 16 17 8
8 156 10 17 17 8
8 156 11 18 17 8
8 156 12 13 16 8
8 156 13 14 16 8
8 156 14 15 16 8
8 156 15 16 16 8
8 156 16 17 16 8
8 156 17 18 16 8
8 156 18 13 15 8
8 156 19 14 15 8
8 156 20 15 15 8
8 156 21 16 15 8
8 156 22 17 15 8
8 156 23 18 15 8
8 156 24 13 14 8
8 156 25 14 14 8
8 156 26 15 14 8
8 156 27 16 14 8
8 156 28 17 14 8
8 156 29 18 14 8
8 156 30 13 13 8
8 156 31 14 13 8
8 156 32 15 13 8
8 156 33 16 13 8
8 156 34 17 13 8
8 156 35 18 13 8
9 149 0 12 12 9
9 149 1 11 12 9
9 149 2 10 12 9
9 149 3 9 12 9
9 149 4 8 12 9
9 149 5 7 12 9
9 149 6 12 11 9
9 149 7 11 11 9
